sample_index,mean_trace,std_trace
277,-0.24179785,0.004960887
278,0.2562327,0.0044868607
279,0.07296709,0.003839063
280,-0.30824032,0.0039062188
281,-0.029750733,0.0037584554
282,0.38613686,0.004122587
283,0.14959204,0.0035153858
284,-0.2637925,0.00411549
285,-0.0055969725,0.0036750494
286,0.40020785,0.00440033
287,0.15604024,0.0039003273
288,-0.26176655,0.003910282
289,-0.0098024905,0.003510968
290,0.39382803,0.004172571
291,0.15244229,0.0038807099
292,-0.25960883,0.0038421985
293,-0.0060180174,0.003466109
294,0.3978835,0.0042325812
295,0.15323457,0.003495196
296,-0.26742032,0.003655965
297,-0.01238877,0.0036297676
298,0.3911297,0.0041281427
299,0.14710073,0.0037270414
300,-0.29929116,0.004217777
301,-0.20689584,0.004978646
302,0.27037525,0.004661028
303,0.07499487,0.0036349213
304,-0.3239775,0.0038737333
305,-0.04648286,0.0035089399
306,0.36950785,0.004087193
307,0.13314238,0.00380724
308,-0.27114025,0.004004507
309,-0.016567871,0.0034827786
310,0.38821825,0.004320141
311,0.14284287,0.003776839
312,-0.27326968,0.0038769632
313,-0.023061622,0.0036880965
314,0.38127264,0.0043503516
315,0.13874672,0.003463047
316,-0.28507772,0.0038555916
317,-0.026963184,0.0037008163
318,0.3805397,0.0042883274
319,0.1375186,0.0035755544
320,-0.29113227,0.0038841062
321,-0.03201377,0.0034312177
322,0.37595084,0.0042133234
323,0.1333144,0.003816421
324,-0.2827199,0.0038115715
325,-0.027301952,0.0035765907
326,0.37786606,0.004471249
327,0.13363203,0.003680139
328,-0.31211343,0.0041784616
329,-0.22223228,0.0053024273
330,0.2563619,0.0046866415
331,0.060883936,0.0039725546
332,-0.36736846,0.003949632
333,-0.25320053,0.0052186693
334,0.24103212,0.0050955685
335,0.053922947,0.004001727
336,-0.37255165,0.004153695
337,-0.258371,0.005253144
338,0.23920527,0.004720274
339,0.055732716,0.0039608185
340,-0.3537958,0.0041709593
341,-0.25100327,0.0051699164
342,0.24669898,0.004739113
343,0.06245957,0.00393407
344,-0.32035023,0.0038916005
345,-0.041276075,0.0038146595
346,0.37612134,0.004245526
347,0.13914087,0.003619404
348,-0.32384154,0.003634731
349,-0.22737159,0.004760679
350,0.26222938,0.0046550995
351,0.07321826,0.00391087
352,-0.34779423,0.0043051164
353,-0.24405879,0.0051662656
354,0.25400156,0.0045780647
355,0.070710056,0.0038571134
356,-0.34651327,0.003962239
357,-0.23016104,0.0049358844
358,0.26451227,0.0043852907
359,0.07880117,0.0036273303
360,-0.297152,0.004039615
361,-0.02181875,0.0033694427
362,0.3929205,0.00433748
363,0.15407997,0.003978075
364,-0.26456982,0.0040449495
365,-0.0055623045,0.003646114
366,0.40063134,0.004177344
367,0.15728867,0.0037206297
368,-0.25707933,0.0038731252
369,-0.0066192383,0.0035567903
370,0.39688677,0.0043205926
371,0.15500723,0.0037560961
372,-0.2701833,0.0037586782
373,-0.012327637,0.0035823472
374,0.39428183,0.0041114283
375,0.1514956,0.0038832559
376,-0.2708282,0.0040288586
377,-0.014329883,0.00361371
378,0.39160538,0.0038633456
379,0.14814702,0.0034244277
380,-0.27792236,0.0041076005
381,-0.020080078,0.0034327523
382,0.38675582,0.004321481
383,0.14359634,0.0035819958
384,-0.27049175,0.0037457955
385,-0.016355224,0.0034719566
386,0.38772616,0.0040626675
387,0.14279912,0.0036651862
388,-0.30152607,0.0036885452
389,-0.2140168,0.004566037
390,0.26459044,0.0045661195
391,0.06877202,0.003810884
392,-0.3488931,0.004374736
393,-0.24788906,0.005044021
394,0.24581768,0.0046493863
395,0.060172997,0.0038166954
396,-0.36039215,0.0040487093
397,-0.24881719,0.004911611
398,0.24757744,0.004453079
399,0.0630958,0.0037493748
400,-0.3187558,0.0042651105
401,-0.040401906,0.0036405944
402,0.3765632,0.0039675557
403,0.13946733,0.0036014356
404,-0.2736714,0.003743891
405,-0.01537417,0.0041345274
406,0.39058647,0.00434541
407,0.14691362,0.0035673287
408,-0.27530503,0.00376895
409,-0.021955518,0.003767635
410,0.3851534,0.0043173973
411,0.14340635,0.0034521772
412,-0.30805528,0.0039312392
413,-0.19505264,0.0048475545
414,0.27758095,0.00461079
415,0.078875974,0.0037518789
416,-0.30462524,0.0041713724
417,-0.034386083,0.0036187056
418,0.37831318,0.004010806
419,0.13878267,0.003502561
420,-0.31510118,0.0037904663
421,-0.21151519,0.0045092553
422,0.2685079,0.004406566
423,0.07437534,0.0037798928
424,-0.3490852,0.0039199824
425,-0.21474053,0.004546364
426,0.26835865,0.004672827
427,0.07521963,0.0038131892
428,-0.3455105,0.0037602144
429,-0.23600762,0.0046392744
430,0.25786895,0.0045774807
431,0.07176602,0.004101896
432,-0.3453793,0.004237088
433,-0.23277475,0.0048824633
434,0.2632574,0.005044072
435,0.07579111,0.0042343824
436,-0.3244671,0.004034606
437,-0.040497754,0.003531285
